Date,GDP,CPI,Fed_Rate,Unemployment
2021-03-31,5145.087,263.15766666666667,0.08,6.233333333333333
2021-06-30,5368.017,269.315,0.07,5.933333333333334
2021-09-30,5418.754,273.62666666666667,0.09000000000000001,5.066666666666666
2021-12-31,5600.549,277.7796666666666,0.08,4.166666666666667
2022-03-31,5354.373,284.1226666666667,0.12,3.8666666666666667
2022-06-30,5495.481,292.57199999999995,0.77,3.6333333333333333
2022-09-30,5556.056,296.41833333333335,2.19,3.533333333333333
2022-12-31,5670.022,297.50666666666666,3.653333333333333,3.5666666666666664
2023-03-31,5488.947,300.61533333333335,4.516666666666667,3.533333333333333
2023-06-30,5655.781,304.19966666666664,4.989999999999999,3.533333333333333
2023-09-30,5731.929,306.8353333333333,5.260000000000001,3.6333333333333333
2023-12-31,5847.063,307.156,5.33,3.8000000000000003
2024-03-31,5647.3,310.35833333333335,5.33,3.8333333333333335
2024-06-30,5829.384,313.9306666666667,5.33,3.9666666666666663
2024-09-30,5884.567,314.87899999999996,5.263333333333333,4.166666666666667
2024-12-31,5997.184,315.58733333333333,4.6499999999999995,4.133333333333333
