Date,Revenue,COGS,Operating_Expenses,EBITDA,Net_Income,Gross_Profit,Operating_Income,Company,EBITDA_Margin,Currency_Unit
2022-09-30,69092.0,31158.0,20799.0,20380.0,13910.0,37934.0,17135.0,GOOGL,29.5,millions USD
2022-09-30,27714.0,5716.0,16334.0,7839.0,4395.0,21998.0,5664.0,META,28.29,millions USD
2022-09-30,50122.0,15452.0,13152.0,24918.0,17556.0,34670.0,21518.0,MSFT,49.71,millions USD
2022-12-31,117154.0,66822.0,14709.0,38932.0,29998.0,50332.0,36016.0,AAPL,33.23,millions USD
2022-12-31,149204.0,85640.0,60258.0,15232.0,278.0,63564.0,2547.0,AMZN,10.21,millions USD
2022-12-31,76048.0,35342.0,22546.0,21438.0,13624.0,40706.0,18160.0,GOOGL,28.19,millions USD
2022-12-31,32165.0,8336.0,17430.0,8775.0,4652.0,23829.0,6399.0,META,27.28,millions USD
2022-12-31,52747.0,17488.0,14860.0,24047.0,16425.0,35259.0,20399.0,MSFT,45.59,millions USD
2023-03-31,94836.0,52860.0,13594.0,31216.0,24160.0,41976.0,28318.0,AAPL,32.92,millions USD
2023-03-31,127358.0,67791.0,54570.0,15897.0,3172.0,59567.0,4774.0,AMZN,12.48,millions USD
2023-03-31,69787.0,30612.0,21760.0,20920.0,15051.0,39175.0,17415.0,GOOGL,29.98,millions USD
2023-03-31,28645.0,6108.0,15310.0,9751.0,5709.0,22537.0,7227.0,META,34.04,millions USD
2023-03-31,52857.0,16128.0,14377.0,26718.0,18299.0,36729.0,22352.0,MSFT,50.55,millions USD
2023-06-30,81797.0,45384.0,13415.0,26050.0,19881.0,36413.0,22998.0,AAPL,31.85,millions USD
2023-06-30,134383.0,69373.0,57183.0,19270.0,6750.0,65010.0,7681.0,AMZN,14.34,millions USD
2023-06-30,74604.0,31916.0,20850.0,24770.0,18368.0,42688.0,21838.0,GOOGL,33.2,millions USD
2023-06-30,31999.0,5945.0,16662.0,12015.0,7788.0,26054.0,9392.0,META,37.55,millions USD
2023-06-30,56189.0,16795.0,15140.0,28128.0,20081.0,39394.0,24254.0,MSFT,50.06,millions USD
2023-09-30,89498.0,49071.0,13411.0,29622.0,22956.0,40427.0,26969.0,AAPL,33.1,millions USD
2023-09-30,143083.0,75022.0,56629.0,23319.0,9879.0,68061.0,11188.0,AMZN,16.3,millions USD
2023-09-30,76693.0,33229.0,22121.0,24484.0,19689.0,43464.0,21343.0,GOOGL,31.92,millions USD
2023-09-30,34146.0,6210.0,14188.0,16607.0,11583.0,27936.0,13748.0,META,48.64,millions USD
2023-09-30,56517.0,16302.0,13320.0,31730.0,22291.0,40215.0,26895.0,MSFT,56.14,millions USD
2023-12-31,119575.0,64720.0,14532.0,43221.0,33916.0,54855.0,40373.0,AAPL,36.15,millions USD
2023-12-31,169961.0,92553.0,64045.0,27029.0,10624.0,77408.0,13209.0,AMZN,15.9,millions USD
2023-12-31,86310.0,37575.0,25038.0,26044.0,20687.0,48735.0,23697.0,GOOGL,30.17,millions USD
2023-12-31,40111.0,7695.0,16032.0,19556.0,14017.0,32416.0,16384.0,META,48.75,millions USD
2023-12-31,62020.0,19623.0,15365.0,33394.0,21870.0,42397.0,27032.0,MSFT,53.84,millions USD
2024-03-31,90753.0,48482.0,14213.0,30736.0,23636.0,42271.0,27900.0,AAPL,33.87,millions USD
2024-03-31,143313.0,72633.0,55145.0,26991.0,10431.0,70680.0,15307.0,AMZN,18.83,millions USD
2024-03-31,80539.0,33712.0,21355.0,31822.0,23662.0,46827.0,25472.0,GOOGL,39.51,millions USD
2024-03-31,36455.0,6640.0,15997.0,17684.0,12369.0,29815.0,13818.0,META,48.51,millions USD
2024-03-31,61858.0,18505.0,15772.0,33554.0,21939.0,43353.0,27581.0,MSFT,54.24,millions USD
2024-06-30,85777.0,46099.0,14326.0,28202.0,21448.0,39678.0,25352.0,AAPL,32.88,millions USD
2024-06-30,147977.0,73785.0,59423.0,26807.0,13485.0,74192.0,14769.0,AMZN,18.12,millions USD
2024-06-30,84742.0,35507.0,21810.0,31326.0,23619.0,49235.0,27425.0,GOOGL,36.97,millions USD
2024-06-30,39071.0,7308.0,16916.0,18871.0,13465.0,31763.0,14847.0,META,48.3,millions USD
2024-06-30,64727.0,19684.0,17118.0,34331.0,22036.0,45043.0,27925.0,MSFT,53.04,millions USD
2024-09-30,94930.0,51051.0,14288.0,32502.0,14736.0,43879.0,29591.0,AAPL,34.24,millions USD
2024-09-30,158877.0,80977.0,60489.0,32082.0,15328.0,77900.0,17411.0,AMZN,20.19,millions USD
2024-09-30,88268.0,36474.0,23273.0,35745.0,26301.0,51794.0,28521.0,GOOGL,40.5,millions USD
2024-09-30,40589.0,7375.0,15864.0,22057.0,15688.0,33214.0,17350.0,META,54.34,millions USD
2024-09-30,65585.0,20099.0,14934.0,38234.0,24667.0,45486.0,30552.0,MSFT,58.3,millions USD
2024-12-31,124300.0,66025.0,15443.0,45664.0,36330.0,58275.0,42832.0,AAPL,36.74,millions USD
2024-12-31,187792.0,98893.0,67696.0,38550.0,20004.0,88899.0,21203.0,AMZN,20.53,millions USD
2024-12-31,96469.0,40613.0,24884.0,36501.0,26536.0,55856.0,30972.0,GOOGL,37.84,millions USD
2024-12-31,48385.0,8839.0,16182.0,28263.0,20838.0,39546.0,23364.0,META,58.41,millions USD
2024-12-31,69632.0,21799.0,16180.0,36786.0,24108.0,47833.0,31653.0,MSFT,52.83,millions USD
