fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,38095000000,90146000000,52051000000,52051000000,24894000000,6440000000,6761000000,13201000000,None,-74000000,753000000,827000000,None,237000000,None,2865000000,24657000000,3936000000,None,20721000000,None,25484000000,28349000000,20721000000
2022-06-30,USD,35885000000,82959000000,47074000000,47074000000,23076000000,6012000000,6797000000,12809000000,None,3000000,722000000,719000000,None,10000000,None,2805000000,23066000000,3624000000,None,19442000000,None,23785000000,26590000000,19442000000
2022-03-31,USD,42559000000,97278000000,54719000000,54719000000,29979000000,6193000000,6387000000,12580000000,None,9000000,700000000,691000000,None,160000000,None,2737000000,30139000000,5129000000,None,25010000000,None,30830000000,33567000000,25010000000
2021-12-31,USD,54243000000,123945000000,69702000000,69702000000,41488000000,6449000000,6306000000,12755000000,None,-44000000,650000000,694000000,None,247000000,None,2697000000,41241000000,6611000000,None,34630000000,None,41935000000,44632000000,34630000000
2021-09-30,USD,35174000000,83360000000,48186000000,48186000000,23786000000,5616000000,5772000000,11388000000,None,-13000000,659000000,672000000,None,538000000,None,2989000000,23248000000,2697000000,None,20551000000,None,23920000000,26909000000,20551000000
2021-06-30,USD,35255000000,81434000000,46179000000,46179000000,24126000000,5412000000,5717000000,11129000000,None,54000000,719000000,665000000,None,243000000,None,2832000000,24369000000,2625000000,None,21744000000,None,25034000000,27866000000,21744000000
2021-03-31,USD,38079000000,89584000000,51505000000,51505000000,27503000000,5314000000,5262000000,10576000000,None,48000000,718000000,670000000,None,508000000,None,2797000000,28011000000,4381000000,None,23630000000,None,28681000000,31478000000,23630000000
2020-12-31,USD,44328000000,111439000000,67111000000,67111000000,33534000000,5631000000,5163000000,10794000000,None,109000000,747000000,638000000,None,45000000,None,2666000000,33579000000,4824000000,None,28755000000,None,34217000000,36883000000,28755000000
2020-09-30,USD,24689000000,64698000000,40009000000,40009000000,14775000000,4936000000,4978000000,9914000000,None,134000000,134000000,634000000,None,126000000,None,2702000000,14901000000,2228000000,None,12673000000,None,15535000000,18237000000,12673000000
2020-06-30,USD,22680000000,59685000000,37005000000,37005000000,13091000000,4831000000,4758000000,9589000000,None,204000000,901000000,697000000,None,46000000,None,2752000000,13137000000,1884000000,None,11253000000,None,13834000000,16586000000,11253000000
2020-03-31,USD,22370000000,58313000000,35943000000,35943000000,12853000000,4952000000,4565000000,9517000000,None,292000000,1049000000,757000000,None,282000000,None,2786000000,13135000000,1886000000,None,11249000000,None,13892000000,16678000000,11249000000
2019-12-31,USD,35217000000,91819000000,56602000000,56602000000,25569000000,5197000000,4451000000,9648000000,None,260000000,1045000000,785000000,None,349000000,None,2816000000,25918000000,3682000000,None,22236000000,None,26703000000,29519000000,22236000000
2019-09-30,USD,24313000000,64040000000,39727000000,39727000000,15625000000,4578000000,4110000000,8688000000,None,296000000,1106000000,810000000,None,502000000,None,3179000000,16127000000,2441000000,None,13686000000,None,16937000000,20116000000,13686000000
2019-06-30,USD,20227000000,53809000000,33582000000,33582000000,11544000000,4426000000,4257000000,8683000000,None,324000000,1190000000,866000000,None,367000000,None,2933000000,11911000000,1867000000,None,10044000000,None,12777000000,15710000000,10044000000
2019-03-31,USD,21821000000,58015000000,36194000000,36194000000,13415000000,4458000000,3948000000,8406000000,None,348000000,1358000000,1010000000,None,378000000,None,3040000000,13793000000,2232000000,None,11561000000,None,14803000000,17843000000,11561000000
2018-12-31,USD,32031000000,84310000000,52279000000,52279000000,23346000000,4783000000,3902000000,8685000000,None,None,None,890000000,None,560000000,None,3395000000,23906000000,3941000000,None,19965000000,None,24796000000,28191000000,19965000000
2018-09-30,USD,24084000000,62900000000,38816000000,38816000000,16118000000,4216000000,3750000000,7966000000,None,None,None,868000000,None,303000000,None,2754000000,16421000000,2296000000,None,14125000000,None,17289000000,20043000000,14125000000
2018-06-30,USD,20421000000,53265000000,32844000000,32844000000,12612000000,4108000000,3701000000,7809000000,None,None,None,846000000,None,672000000,None,2665000000,13284000000,1765000000,None,11519000000,None,14130000000,16795000000,11519000000
2018-03-31,USD,23422000000,61137000000,37715000000,37715000000,15894000000,4150000000,3378000000,7528000000,None,None,None,792000000,None,274000000,None,2739000000,16168000000,2346000000,None,13822000000,None,16960000000,19699000000,13822000000
2017-12-31,USD,33912000000,88293000000,54381000000,54381000000,26274000000,4231000000,3407000000,7638000000,None,None,None,734000000,None,756000000,None,2745000000,27030000000,6965000000,None,20065000000,None,27764000000,30509000000,20065000000
2017-09-30,USD,19931000000,52579000000,32648000000,32648000000,13120000000,3814000000,2997000000,6811000000,None,None,None,666000000,None,797000000,None,2484000000,13917000000,3203000000,None,10714000000,None,14583000000,17067000000,10714000000
2017-06-30,USD,17488000000,45408000000,27920000000,27920000000,10768000000,3783000000,2937000000,6720000000,None,None,None,602000000,None,540000000,None,2354000000,11308000000,2591000000,None,8717000000,None,11910000000,14264000000,8717000000
2017-03-31,USD,20591000000,52896000000,32305000000,32305000000,14097000000,3718000000,2776000000,6494000000,None,None,None,530000000,None,587000000,None,2332000000,14684000000,3655000000,None,11029000000,None,15214000000,17546000000,11029000000
2016-12-31,USD,30176000000,78351000000,48175000000,48175000000,23359000000,3946000000,2871000000,6817000000,None,None,None,525000000,None,821000000,None,2987000000,24180000000,6289000000,None,17891000000,None,24705000000,27692000000,17891000000
2016-09-30,USD,17813000000,46852000000,29039000000,29039000000,11761000000,3482000000,2570000000,6052000000,None,None,None,450000000,None,427000000,None,2548000000,12188000000,3174000000,None,9014000000,None,12638000000,15186000000,9014000000
2016-06-30,USD,16106000000,42358000000,26252000000,26252000000,10105000000,3441000000,2560000000,6001000000,None,None,None,409000000,None,364000000,None,2526000000,10469000000,2673000000,None,7796000000,None,10878000000,13404000000,7796000000
2016-03-31,USD,19921000000,50557000000,30636000000,30636000000,13987000000,3423000000,2511000000,5934000000,None,None,None,321000000,None,155000000,None,2477000000,14142000000,3626000000,None,10516000000,None,14463000000,16940000000,10516000000
2015-12-31,USD,30423000000,75872000000,45449000000,45449000000,24171000000,3848000000,2404000000,6252000000,None,None,None,276000000,None,402000000,None,2954000000,24573000000,6212000000,None,18361000000,None,24849000000,27803000000,18361000000
2015-09-30,USD,20548000000,51501000000,30953000000,30953000000,14623000000,3705000000,2220000000,5925000000,None,None,None,238000000,None,439000000,None,3119000000,15062000000,3938000000,None,11124000000,None,15300000000,18419000000,11124000000
2015-06-30,USD,19681000000,49605000000,29924000000,29924000000,14083000000,3564000000,2034000000,5598000000,None,None,None,201000000,None,390000000,None,3084000000,14473000000,3796000000,None,10677000000,None,14674000000,17758000000,10677000000
2015-03-31,USD,23656000000,58010000000,34354000000,34354000000,18278000000,3460000000,1918000000,5378000000,None,None,None,163000000,None,286000000,None,2479000000,18564000000,4995000000,None,13569000000,None,18727000000,21206000000,13569000000
2014-12-31,USD,29741000000,74599000000,44858000000,44858000000,24246000000,3600000000,1895000000,5495000000,None,None,None,131000000,None,170000000,None,2575000000,24416000000,6392000000,None,18024000000,None,24547000000,27122000000,18024000000
2014-09-30,USD,16009000000,42123000000,26114000000,26114000000,11165000000,1958000000,1686000000,4844000000,None,None,None,115000000,None,307000000,None,1969000000,11472000000,3005000000,None,8467000000,None,11587000000,13556000000,8467000000
2014-06-30,USD,14735000000,37432000000,22697000000,22697000000,10282000000,2850000000,1603000000,4453000000,None,None,None,100000000,None,202000000,None,1946000000,10484000000,2736000000,None,7748000000,None,10584000000,12530000000,7748000000
2014-03-31,USD,17947000000,45646000000,27699000000,27699000000,13593000000,2932000000,1422000000,4354000000,None,None,None,85000000,None,225000000,None,1887000000,13818000000,3595000000,None,10223000000,None,13903000000,15790000000,10223000000
2013-12-31,USD,21846000000,57594000000,35748000000,35748000000,17463000000,3053000000,1330000000,4383000000,None,None,None,84000000,None,246000000,None,2144000000,17709000000,4637000000,None,13072000000,None,17793000000,19937000000,13072000000
2013-09-30,USD,13871000000,37472000000,23601000000,23601000000,10030000000,9730000000,1168000000,3841000000,None,None,None,83000000,None,113000000,None,1783000000,10143000000,2631000000,None,7512000000,None,10226000000,12009000000,7512000000
2013-06-30,USD,13024000000,35323000000,22299000000,22299000000,9201000000,2645000000,1178000000,3823000000,None,None,None,53000000,None,234000000,None,1694000000,9435000000,2535000000,None,6900000000,None,9488000000,11182000000,6900000000
2013-03-31,USD,16349000000,43603000000,27254000000,27254000000,12558000000,2672000000,1119000000,3791000000,None,None,None,347000000,None,347000000,None,1692000000,12905000000,3358000000,None,9547000000,None,12905000000,14597000000,9547000000
